MJD, counts, counts_err
5.759003133854011685e+04,1.247389999999999999e+00,2.326840000000000019e-01
5.759003168576234020e+04,9.450589999999999824e-01,2.024279999999999968e-01
5.759003203298457083e+04,7.314169999999999838e-01,1.769010000000000027e-01
5.758995460288217873e+04,1.456460000000000088e+00,2.504620000000000180e-01
5.758995495010440936e+04,1.325020000000000087e+00,2.397209999999999896e-01
5.758995529732663272e+04,6.393100000000000449e-01,1.669499999999999873e-01
5.758995564454884152e+04,9.418210000000000193e-01,2.014730000000000132e-01
5.758995599177107215e+04,1.156250000000000000e+00,2.234579999999999900e-01
5.758995633899328823e+04,1.032880000000000020e+00,2.126800000000000079e-01
5.758995668621551886e+04,1.419289999999999941e+00,2.473329999999999973e-01
5.758995703343772766e+04,1.120409999999999906e+00,2.203180000000000138e-01
5.758995738065995829e+04,1.187210000000000099e+00,2.283650000000000124e-01
5.758995772788218164e+04,1.539670000000000094e+00,2.583300000000000041e-01
5.758995807510439772e+04,9.454690000000000039e-01,2.021860000000000046e-01
5.758995842232662835e+04,1.382349999999999968e+00,2.444199999999999984e-01
5.758995876954883715e+04,8.540450000000000541e-01,1.920969999999999900e-01
5.758995911677108234e+04,1.359900000000000109e+00,2.429840000000000055e-01
5.758995946399329114e+04,1.381029999999999980e+00,2.444199999999999984e-01
5.758995981121550722e+04,7.252049999999999885e-01,1.775220000000000131e-01
5.758996015843773785e+04,8.505770000000000275e-01,1.923229999999999940e-01
5.758996050565994665e+04,1.031709999999999905e+00,2.114250000000000018e-01
5.758996085288217728e+04,1.368009999999999948e+00,2.438440000000000052e-01
5.758996120010440063e+04,1.241409999999999902e+00,2.315859999999999863e-01
5.758996154732661671e+04,1.070310000000000095e+00,2.155299999999999994e-01
5.758996189454884734e+04,1.245579999999999909e+00,2.318590000000000095e-01
5.758996224177106342e+04,1.188369999999999926e+00,2.272909999999999930e-01
5.758996258899328677e+04,1.104309999999999903e+00,2.195390000000000119e-01
5.758996293621551013e+04,1.151699999999999946e+00,2.229339999999999933e-01
5.758996328343774076e+04,1.668870000000000076e+00,2.688789999999999791e-01
5.758996363065995683e+04,7.711729999999999974e-01,1.831000000000000127e-01
5.758996397788217291e+04,1.282680000000000042e+00,2.358230000000000048e-01
5.758996432510440354e+04,1.437670000000000003e+00,2.498750000000000138e-01
5.758988259094604291e+04,1.319900000000000073e+00,2.400029999999999941e-01
5.758988293816827354e+04,1.060380000000000100e+00,2.145179999999999865e-01
5.758988328539048962e+04,9.335940000000000349e-01,2.012359999999999982e-01
